FINAL_BOARD,RESULT,X_LONGEST_PATH,O_LONGEST_PATH,X_LONGEST_N1,X_LONGEST_N2,X_LONGEST_N3,X_LONGEST_N4,O_LONGEST_N1,O_LONGEST_N2,O_LONGEST_N3,O_LONGEST_N4
482206874052426,1.0,9,6,5,3,5,1,3,3,1,0
480060397574784,1.0,10,8,4,6,4,0,4,4,2,0
321943729468536,1.0,9,6,3,6,1,0,0,4,2,0
397854290366936,1.0,10,7,2,6,2,1,3,5,1,0
423791295964896,1.0,13,10,5,8,3,2,4,6,2,0
532474398877885,0.0,7,10,3,4,1,0,3,4,3,1
392107992742040,1.0,13,5,1,7,5,0,3,2,1,1
354530877830645,1.0,14,13,2,9,4,0,4,9,2,0
106075188945691,1.0,14,7,5,8,5,0,3,4,1,0
380333508419693,1.0,10,9,4,6,2,1,7,3,3,2
371416754640328,1.0,7,6,4,4,0,1,2,4,0,0
305541477851060,1.0,11,8,3,6,3,0,4,4,2,0
158773528819926,1.0,14,6,6,9,6,0,3,1,3,0
226398049089992,1.0,9,6,3,6,1,0,3,4,1,0
368210750786859,0.0,8,10,4,4,2,0,4,6,4,0
504771253419722,0.0,9,15,2,4,4,0,1,10,3,1
33813024665419,0.5,12,12,6,8,2,1,4,9,2,0
427952520530848,1.0,18,11,3,5,7,4,4,4,4,1
346767962571719,0.0,7,14,1,4,1,1,4,9,4,1
344163305288182,0.5,15,15,2,7,6,1,4,8,6,0
295544371271398,1.0,13,12,5,6,5,1,2,10,0,0
102120890369721,1.0,10,7,4,6,4,0,1,3,3,0
396768896771520,0.5,17,17,5,9,7,1,2,14,4,0
454211177851669,1.0,13,7,5,8,3,0,1,4,1,1
28378281331063,0.0,8,11,3,4,3,0,4,3,6,0
121858751663330,1.0,10,9,4,5,4,0,1,7,1,0
543315577070403,1.0,10,9,4,4,4,0,2,3,4,1
302805421053845,1.0,13,11,6,7,6,0,4,7,2,0
232793025109218,0.0,7,8,4,3,2,0,3,5,1,0
431424327114460,1.0,18,14,2,6,8,3,2,8,4,0
363978569635627,0.0,6,7,3,3,1,0,3,3,1,1
430937253618306,1.0,17,11,3,9,5,2,4,3,6,0
59863857956661,1.0,13,7,5,10,3,1,2,4,2,0
111251630250328,1.0,14,8,4,6,6,0,2,6,0,0
98214517568842,1.0,8,4,3,5,1,0,3,1,1,0
68801644966378,0.0,7,9,2,4,2,0,3,6,1,0
141895815376365,1.0,11,9,4,6,4,0,2,3,4,1
459848075668848,1.0,11,7,3,8,1,0,4,3,2,1
526186598784672,1.0,9,8,4,1,6,0,3,5,1,0
486538687757201,1.0,12,11,3,7,3,0,2,5,4,0
296208087250119,0.0,11,12,3,8,1,1,7,4,5,1
471574781855773,0.0,11,12,4,8,4,0,4,6,4,0
416229943548172,1.0,19,8,3,16,3,0,2,6,0,0
469281870661386,1.0,13,10,4,10,4,0,1,5,3,1
285783054725275,1.0,11,9,3,7,3,0,5,4,3,0
238132278922481,1.0,9,8,3,5,1,2,4,4,2,0
267768345646468,1.0,11,9,3,9,1,2,3,6,1,0
84339423958099,1.0,13,7,3,10,1,1,1,5,1,0
230963162954927,1.0,14,9,5,8,3,1,5,6,1,1
